0,1,2,3,4
8.0,8.0,25.0,2.0,30.0
6.0,9.0,25.0,4.0,30.0
8.0,8.0,25.0,4.0,30.0
6.0,9.0,25.0,0.0,27.0
15.0,4.0,25.0,0.0,30.0
14.0,5.0,25.0,0.0,30.0
12.0,6.0,25.0,2.0,30.0
5.0,10.0,25.0,4.0,30.0
12.0,6.0,25.0,4.0,30.0
12.0,6.0,25.0,3.0,10.0
12.0,6.0,25.0,4.0,30.0
14.0,5.0,25.0,4.0,30.0
15.0,4.0,25.0,4.0,30.0
12.0,6.0,25.0,2.0,30.0
15.0,4.0,25.0,4.0,30.0
15.0,4.0,25.0,1.0,30.0
15.0,4.0,25.0,3.0,30.0
15.0,4.0,25.0,4.0,30.0
12.0,6.0,25.0,1.0,30.0
6.0,9.0,25.0,4.0,16.0
15.0,4.0,25.0,3.0,30.0
6.0,9.0,25.0,2.0,30.0
10.0,7.0,25.0,4.0,30.0
15.0,4.0,25.0,2.0,30.0
12.0,6.0,25.0,2.0,30.0
10.0,7.0,25.0,4.0,30.0
12.0,6.0,25.0,4.0,30.0
15.0,0.0,25.0,4.0,30.0
15.0,4.0,25.0,4.0,30.0
12.0,6.0,25.0,2.0,30.0
